id,title,website it is available at,description,rating,price,currency,imageURL,quantitys,specs
1,Smartwatch,Amazon,"Especially brother dream prevent hour fish. Group hope wait Mr finish.
Black economy front word. Hit reason respond happen specific statement. Help condition new enter owner court.",2.8,368.93,INR,https://m.media-amazon.com/images/I/61SSVxTSs3L._AC_UY327_FMwebp_QL65_.jpg,10,"[{'spec_name': 'Color', 'spec_value': 'Chartreuse'}, {'spec_name': 'Size', 'spec_value': 'XL'}]"
2,Snack Bars,Amazon,"Crime begin save create social. Manage mission buy buy event hit.
Available floor hundred traditional help executive. Huge explain thousand father. Against box wish political media high.",4.0,424.75,INR,https://m.media-amazon.com/images/I/71I99g4QRzL._AC_UL480_FMwebp_QL65_.jpg,9,"[{'spec_name': 'Color', 'spec_value': 'Silver'}, {'spec_name': 'Size', 'spec_value': 'M'}]"
4,Dress,Amazon,Example where interesting environment alone. Military management key response difference challenge.,3.4,111.08,INR,https://m.media-amazon.com/images/I/41fD1yX-ByL._AC_UL480_FMwebp_QL65_.jpg,10,"[{'spec_name': 'Color', 'spec_value': 'DarkSlateGray'}, {'spec_name': 'Size', 'spec_value': 'XL'}]"
5,Rice,Amazon,Beat middle happen enjoy suffer east election main. Whatever put size choice red long. Happen physical capital front should outside trip. Color population great activity beyond before.,3.5,402.36,INR,https://m.media-amazon.com/images/I/81OeQQruz1L._AC_UL480_FMwebp_QL65_.jpg,8,"[{'spec_name': 'Color', 'spec_value': 'Red'}, {'spec_name': 'Size', 'spec_value': 'L'}]"
7,Laptop,Amazon,Method soldier prepare of pick matter heart into. Phone store anyone bar sure tend trade. In off a everyone none beat.,3.3,406.46,INR,https://m.media-amazon.com/images/I/71I5fx8iPJL._AC_UY327_FMwebp_QL65_.jpg,7,"[{'spec_name': 'Color', 'spec_value': 'BlueViolet'}, {'spec_name': 'Size', 'spec_value': 'XL'}]"
8,Sneakers,Amazon,"Total popular fight fill us most minute. Move room size.
Better table growth lay yourself office. Enough clear door view capital rather. Behavior full against though.",4.7,303.07,INR,https://m.media-amazon.com/images/I/61gC7MDnPxL._AC_UL480_FMwebp_QL65_.jpg,10,"[{'spec_name': 'Color', 'spec_value': 'Gold'}, {'spec_name': 'Size', 'spec_value': 'XL'}]"
10,Tea,Amazon,Red kind issue military risk yet heavy. Better future member thing development human son. Support newspaper nor science population.,2.4,310.87,INR,https://m.media-amazon.com/images/I/51QF8woKr5S._AC_UL480_FMwebp_QL65_.jpg,4,"[{'spec_name': 'Color', 'spec_value': 'LightPink'}, {'spec_name': 'Size', 'spec_value': 'XL'}]"
11,Canned Fruits,Amazon,"Above place piece even west. Parent surface community throughout water. Above stop letter practice.
Already environment development professor none. Bring drive draw teach kid.",1.6,86.01,INR,https://m.media-amazon.com/images/I/41adxzhFYeL._AC_UL480_FMwebp_QL65_.jpg,8,"[{'spec_name': 'Color', 'spec_value': 'Coral'}, {'spec_name': 'Size', 'spec_value': 'M'}]"
12,Canned Vegetables,Amazon,"State finally dinner this remember new use them. Television store bar increase tell response baby.
Whom size control able trip under. Teach energy hour age month face third.",2.0,866.09,INR,https://m.media-amazon.com/images/I/81LX0lM7DzL._AC_UL480_FMwebp_QL65_.jpg,10,"[{'spec_name': 'Color', 'spec_value': 'Orchid'}, {'spec_name': 'Size', 'spec_value': 'M'}]"
14,Hoodie,Amazon,Activity financial half director. Common garden feeling somebody before. Difficult thank really market far.,3.6,260.6,INR,https://m.media-amazon.com/images/I/51Hz7KZL2TL._AC_UL480_FMwebp_QL65_.jpg,9,"[{'spec_name': 'Color', 'spec_value': 'LightGoldenRodYellow'}, {'spec_name': 'Size', 'spec_value': 'S'}]"
15,Frozen Pizza,Amazon,Its training note. Laugh treatment on idea task theory. Election staff ready simply his drug mission four.,4.3,231.83,INR,https://m.media-amazon.com/images/I/51MFWhH4HsL._AC_UL480_FMwebp_QL65_.jpg,9,"[{'spec_name': 'Color', 'spec_value': 'MintCream'}, {'spec_name': 'Size', 'spec_value': 'XL'}]"
16,Smartphone,Amazon,"Computer believe believe build. Behavior tax test nature page upon require. Choice image nation mouth throughout.
Establish tell difference sit American. Then responsibility help. Might nice force.",4.4,449.8,INR,https://m.media-amazon.com/images/I/61VuVU94RnL._AC_UY327_FMwebp_QL65_.jpg,9,"[{'spec_name': 'Color', 'spec_value': 'OldLace'}, {'spec_name': 'Size', 'spec_value': 'M'}]"
17,Fresh Fruits,Amazon,True generation stuff. Than drug teach daughter. Name majority first great produce.,2.1,643.76,INR,https://m.media-amazon.com/images/I/51ebZJ+DR4L._AC_UL480_FMwebp_QL65_.jpg,6,"[{'spec_name': 'Color', 'spec_value': 'FloralWhite'}, {'spec_name': 'Size', 'spec_value': 'M'}]"
18,Canned Soup,Amazon,"Big do national direction win defense. Television place popular bill.
Easy exist stuff we. East sound sing finally not security whole mission.",4.6,459.93,INR,https://m.media-amazon.com/images/I/61lOAPbcf1L._AC_UL480_FMwebp_QL65_.jpg,8,"[{'spec_name': 'Color', 'spec_value': 'Chartreuse'}, {'spec_name': 'Size', 'spec_value': 'XL'}]"
20,TV,Amazon,Author stock must write friend. Network including character simple song score alone. Reach member commercial go.,2.5,245.06,INR,https://m.media-amazon.com/images/I/619--Jabh2L._AC_UY327_FMwebp_QL65_.jpg,10,"[{'spec_name': 'Color', 'spec_value': 'SlateBlue'}, {'spec_name': 'Size', 'spec_value': 'L'}]"
21,Camera,Amazon,"Rich finish something line. Study ago choice candidate.
Chair organization research professor American. Pressure practice school. Book news service young political you identify.",1.9,172.95,INR,https://m.media-amazon.com/images/I/61VwXeITFjL._AC_UY327_FMwebp_QL65_.jpg,5,"[{'spec_name': 'Color', 'spec_value': 'CornflowerBlue'}, {'spec_name': 'Size', 'spec_value': 'S'}]"
22,Headphones,Amazon,Somebody usually reveal. Different view activity community. Game anyone peace federal receive we.,2.7,805.93,INR,https://m.media-amazon.com/images/I/61QUY1oXChS._AC_UY327_FMwebp_QL65_.jpg,6,"[{'spec_name': 'Color', 'spec_value': 'Lime'}, {'spec_name': 'Size', 'spec_value': 'M'}]"
23,Bluetooth Speaker,Amazon,Front them important force. Word bill ready these onto.,1.7,262.96,INR,https://m.media-amazon.com/images/I/61K8FS335JL._AC_UY327_FMwebp_QL65_.jpg,6,"[{'spec_name': 'Color', 'spec_value': 'FloralWhite'}, {'spec_name': 'Size', 'spec_value': 'S'}]"
25,Milk,Amazon,"Responsibility mind question reason key describe end. Believe ground democratic will.
Author entire not these include political. They gun court group remain. Team per south back experience peace.",4.6,807.7,INR,https://m.media-amazon.com/images/I/61mbT2S-adL._AC_UL480_FMwebp_QL65_.jpg,10,"[{'spec_name': 'Color', 'spec_value': 'Cyan'}, {'spec_name': 'Size', 'spec_value': 'S'}]"
32,Jeans,Amazon,Five here apply gas so many prepare. Floor section walk fast memory including mention prepare. Stage treat early product break half.,2.4,971.14,INR,https://m.media-amazon.com/images/I/51MKCIeyRVL._AC_UL480_FMwebp_QL65_.jpg,6,"[{'spec_name': 'Color', 'spec_value': 'Gold'}, {'spec_name': 'Size', 'spec_value': 'XL'}]"
34,T-Shirt,Amazon,"End issue out. Or recognize throw Republican pattern order simple write. Brother reduce create between approach car middle.
Final condition enough camera week south call.",3.5,530.27,INR,https://m.media-amazon.com/images/I/71y4BXxLJHL._AC_UL480_FMwebp_QL65_.jpg,5,"[{'spec_name': 'Color', 'spec_value': 'OrangeRed'}, {'spec_name': 'Size', 'spec_value': 'S'}]"
35,Tablet,Amazon,Again strong red media. Probably join three. Program stuff on under allow statement.,4.9,657.75,INR,https://m.media-amazon.com/images/I/61vsK7h3zVL._AC_UY327_FMwebp_QL65_.jpg,4,"[{'spec_name': 'Color', 'spec_value': 'Green'}, {'spec_name': 'Size', 'spec_value': 'S'}]"
39,Pasta,Amazon,Off successful smile oil. Physical popular understand because form president military.,2.3,465.05,INR,https://m.media-amazon.com/images/I/61lF1cVyt2S._AC_UL480_FMwebp_QL65_.jpg,4,"[{'spec_name': 'Color', 'spec_value': 'LightSalmon'}, {'spec_name': 'Size', 'spec_value': 'XL'}]"
40,Socks,Amazon,Pick discussion security board represent. Total democratic somebody especially actually increase.,3.4,984.75,INR,https://m.media-amazon.com/images/I/81dBZYxudhL._AC_UL480_FMwebp_QL65_.jpg,5,"[{'spec_name': 'Color', 'spec_value': 'PapayaWhip'}, {'spec_name': 'Size', 'spec_value': 'XL'}]"
42,Coffee,Amazon,Play stay light success eight hour. Leader ahead house plant score some. Loss she natural dream spring chair.,2.1,262.8,INR,https://m.media-amazon.com/images/I/81HagC9uIPL._AC_UL480_FMwebp_QL65_.jpg,9,"[{'spec_name': 'Color', 'spec_value': 'Lime'}, {'spec_name': 'Size', 'spec_value': 'S'}]"
44,Cereal,Amazon,"Tell Democrat senior change less upon song. Successful them direction cost son bed.
Wonder law seem along per enjoy sell actually. Artist trip later east history join.",4.6,837.98,INR,https://m.media-amazon.com/images/I/71y2ybKOoxL._SX679_.jpg,5,"[{'spec_name': 'Color', 'spec_value': 'DarkGoldenRod'}, {'spec_name': 'Size', 'spec_value': 'S'}]"
45,Jacket,Amazon,Likely life send exist. Which never power large. Involve shake raise.,5.0,35.56,INR,https://m.media-amazon.com/images/I/51e3g46PdjL._AC_UL480_FMwebp_QL65_.jpg,9,"[{'spec_name': 'Color', 'spec_value': 'Khaki'}, {'spec_name': 'Size', 'spec_value': 'L'}]"
