id,title,website it is available at,description,rating,price,currency,imageURL,specs
1,Socks,Amazon,Rest show game much action environmental trouble. Community wonder trouble discussion.,1.1,674.12,INR,https://placekitten.com/300/300,"[{'spec_name': 'Color', 'spec_value': 'SkyBlue'}, {'spec_name': 'Size', 'spec_value': 'M'}]"
2,Cereal,Amazon,Owner company message recently what. Plant career could result feeling. When south people exist by very.,4.0,727.66,INR,https://dummyimage.com/300x300,"[{'spec_name': 'Color', 'spec_value': 'DarkCyan'}, {'spec_name': 'Size', 'spec_value': 'S'}]"
3,Sweater,Amazon,"Idea spend then single security new. Through sing take those north together today.
International name reason nation seven. Can project street structure.",4.0,190.88,INR,https://dummyimage.com/300x300,"[{'spec_name': 'Color', 'spec_value': 'SandyBrown'}, {'spec_name': 'Size', 'spec_value': 'L'}]"
4,Headphones,Amazon,"Film family beat family drive development. Maybe scene young keep common personal keep. Design almost student pick conference field avoid.
Recognize civil guess various find. Reach cell drug choice.",4.8,55.24,INR,https://picsum.photos/300/300,"[{'spec_name': 'Color', 'spec_value': 'LemonChiffon'}, {'spec_name': 'Size', 'spec_value': 'XL'}]"
5,Camera,Amazon,"Stage we if card. Lead at ever near. Property serious team.
Have affect view have. Culture authority clear decade possible share. Tend seat very traditional often group weight.",3.4,159.22,INR,https://placekitten.com/300/300,"[{'spec_name': 'Color', 'spec_value': 'LightGray'}, {'spec_name': 'Size', 'spec_value': 'S'}]"
6,Milk,eBay,"Culture owner recently every. Garden lead better late join respond wish. Who true space.
View outside rest physical newspaper. Radio as catch approach. Student several building only quality by.",4.4,473.58,INR,https://placekitten.com/300/300,"[{'spec_name': 'Color', 'spec_value': 'LightCoral'}, {'spec_name': 'Size', 'spec_value': 'L'}]"
7,Fresh Fruits,eBay,"Five think provide present product poor. Wear bank method population response.
Sound war especially crime south. Bit agreement that table memory hand.",4.7,182.57,INR,https://dummyimage.com/300x300,"[{'spec_name': 'Color', 'spec_value': 'NavajoWhite'}, {'spec_name': 'Size', 'spec_value': 'S'}]"
8,Smartphone,eBay,"Card none doctor walk report house. Exist give pay.
Us sound either many respond sit whose idea.",2.3,298.81,INR,https://dummyimage.com/300x300,"[{'spec_name': 'Color', 'spec_value': 'ForestGreen'}, {'spec_name': 'Size', 'spec_value': 'M'}]"
9,Tea,eBay,"Cover go law. Argue order send.
A few media stage suffer game smile. Finish house factor piece her education school. Significant size do ever agent soon drive. Those media all sort pick hundred.",1.9,182.75,INR,https://placekitten.com/300/300,"[{'spec_name': 'Color', 'spec_value': 'PaleGreen'}, {'spec_name': 'Size', 'spec_value': 'M'}]"
10,Headphones,eBay,"Rise go picture can concern worry management. School writer firm everyone.
War wide ball month lawyer oil. Type level risk evidence baby action cause.",4.4,464.16,INR,https://dummyimage.com/300x300,"[{'spec_name': 'Color', 'spec_value': 'PeachPuff'}, {'spec_name': 'Size', 'spec_value': 'S'}]"
11,Tablet,Walmart,Sound network hand prepare serve pick. Still around grow great course medical. Left water may color including true back.,2.3,529.53,INR,https://dummyimage.com/300x300,"[{'spec_name': 'Color', 'spec_value': 'Plum'}, {'spec_name': 'Size', 'spec_value': 'L'}]"
12,Bluetooth Speaker,Walmart,"Deal available cause professional song market base. Difference easy look here.
Role summer write receive. Serve body director but unit like.",1.7,282.96,INR,https://dummyimage.com/300x300,"[{'spec_name': 'Color', 'spec_value': 'Beige'}, {'spec_name': 'Size', 'spec_value': 'M'}]"
13,Fresh Fruits,Walmart,"Station hair however. Director my forget claim. Value suffer project according argue loss. Foot control open former stop.
Recent second better enough. Your five professor company.",3.0,677.76,INR,https://picsum.photos/300/300,"[{'spec_name': 'Color', 'spec_value': 'DarkGreen'}, {'spec_name': 'Size', 'spec_value': 'L'}]"
14,Frozen Pizza,Walmart,"Peace run morning professional authority particular. Here order machine rock explain.
Somebody from common citizen. Third wrong responsibility pattern stage market theory behavior.",3.2,848.13,INR,https://placekitten.com/300/300,"[{'spec_name': 'Color', 'spec_value': 'PaleVioletRed'}, {'spec_name': 'Size', 'spec_value': 'L'}]"
15,Fresh Vegetables,Walmart,Space final population sure tonight service. Risk team human with speech age nature.,1.2,299.8,INR,https://picsum.photos/300/300,"[{'spec_name': 'Color', 'spec_value': 'LightYellow'}, {'spec_name': 'Size', 'spec_value': 'L'}]"
16,Hoodie,Best Buy,"Rather long majority concern smile with step. Book last scene blue.
Republican consumer expert enjoy dinner. Expert about first begin defense I. Study use although maybe not whether staff.",4.3,586.72,INR,https://dummyimage.com/300x300,"[{'spec_name': 'Color', 'spec_value': 'DarkGoldenRod'}, {'spec_name': 'Size', 'spec_value': 'L'}]"
17,Hoodie,Best Buy,"Mean consider have often. Improve serve past institution school strategy center.
Anyone federal report difference. Decade country forget remain similar. Simple sell artist simple.",2.2,450.92,INR,https://placekitten.com/300/300,"[{'spec_name': 'Color', 'spec_value': 'DarkBlue'}, {'spec_name': 'Size', 'spec_value': 'S'}]"
18,Headphones,Best Buy,"Challenge structure reach. Left computer or. Then station cultural price game region.
She majority nice interview realize. You child result try rate lose. Different stock machine result.",1.8,815.04,INR,https://placekitten.com/300/300,"[{'spec_name': 'Color', 'spec_value': 'SandyBrown'}, {'spec_name': 'Size', 'spec_value': 'XL'}]"
19,Cereal,Best Buy,Else animal involve first crime. Left office where city role watch view probably. Reveal person traditional.,3.7,809.81,INR,https://picsum.photos/300/300,"[{'spec_name': 'Color', 'spec_value': 'Crimson'}, {'spec_name': 'Size', 'spec_value': 'M'}]"
20,Jacket,Best Buy,"Such action really consumer arrive institution get.
Bad contain reflect story. Half evening maintain receive stay management upon. Financial myself Democrat.",4.9,319.64,INR,https://picsum.photos/300/300,"[{'spec_name': 'Color', 'spec_value': 'DarkRed'}, {'spec_name': 'Size', 'spec_value': 'L'}]"
21,Laptop,Target,"More relate above growth because point. Staff why sell will.
Front full office door account look. Gas improve trade upon. Group better great every hot visit back where.",1.2,937.86,INR,https://dummyimage.com/300x300,"[{'spec_name': 'Color', 'spec_value': 'Tomato'}, {'spec_name': 'Size', 'spec_value': 'S'}]"
22,Socks,Target,"Third south tonight data teach compare discuss long. Start late play modern.
Serious military student reach enter product. Race discussion radio lot sea behavior student. Past agent give decide.",2.7,930.19,INR,https://placekitten.com/300/300,"[{'spec_name': 'Color', 'spec_value': 'MediumTurquoise'}, {'spec_name': 'Size', 'spec_value': 'XL'}]"
