id,title,website it is available at,description,rating,price,currency,imageURL,quantitys,specs
201,Coffee,Target,"Collection huge fight sense. Hotel evidence training. Hundred lawyer activity suddenly size.
Show hard front attack big major.",4.2,153.48,INR,https://m.media-amazon.com/images/I/81HagC9uIPL._AC_UL480_FMwebp_QL65_.jpg,10,"[{'spec_name': 'Color', 'spec_value': 'LightSkyBlue'}, {'spec_name': 'Size', 'spec_value': 'S'}]"
202,Skirt,Target,"Mrs including then data pay someone. Why beyond down easy many side sometimes.
Leg father community oil even kind. Fill follow also offer bill.",1.1,910.03,INR,https://m.media-amazon.com/images/I/41Srjmt2O8L._AC_UL480_FMwebp_QL65_.jpg,8,"[{'spec_name': 'Color', 'spec_value': 'LightSlateGray'}, {'spec_name': 'Size', 'spec_value': 'L'}]"
203,Sneakers,Target,"Might win level during lose child. Central face claim finish. Office nearly plan.
Poor management conference discuss. Sea local short sure early as. Seek my traditional program case same.",1.0,57.27,INR,https://m.media-amazon.com/images/I/61gC7MDnPxL._AC_UL480_FMwebp_QL65_.jpg,10,"[{'spec_name': 'Color', 'spec_value': 'White'}, {'spec_name': 'Size', 'spec_value': 'M'}]"
204,Dress,Target,Pressure party measure dog administration together suffer. Easy week buy.,4.0,154.6,INR,https://m.media-amazon.com/images/I/41fD1yX-ByL._AC_UL480_FMwebp_QL65_.jpg,10,"[{'spec_name': 'Color', 'spec_value': 'Gainsboro'}, {'spec_name': 'Size', 'spec_value': 'XL'}]"
205,Tablet,Target,Room collection design color. Site call federal process. Tax hair identify specific teacher imagine into table.,4.5,305.41,INR,https://m.media-amazon.com/images/I/61vsK7h3zVL._AC_UY327_FMwebp_QL65_.jpg,5,"[{'spec_name': 'Color', 'spec_value': 'DarkMagenta'}, {'spec_name': 'Size', 'spec_value': 'L'}]"
206,Bluetooth Speaker,Target,"Begin red institution method station.
Leave score other. Number discover site discover nothing. Police term approach not race.",4.6,655.72,INR,https://m.media-amazon.com/images/I/61K8FS335JL._AC_UY327_FMwebp_QL65_.jpg,8,"[{'spec_name': 'Color', 'spec_value': 'MistyRose'}, {'spec_name': 'Size', 'spec_value': 'L'}]"
207,Smartwatch,Target,"Explain open fly either three. Hand player another time network.
No sense parent clearly door throughout. Age edge southern ground treat arrive near. Choose door explain.",4.3,765.11,INR,https://m.media-amazon.com/images/I/61SSVxTSs3L._AC_UY327_FMwebp_QL65_.jpg,10,"[{'spec_name': 'Color', 'spec_value': 'DarkMagenta'}, {'spec_name': 'Size', 'spec_value': 'L'}]"
208,Hoodie,Target,"Possible full paper especially cover author energy. Former character bar vote bank building.
Ten reality huge best appear job. Near seek southern station sea listen test.",3.9,744.11,INR,https://m.media-amazon.com/images/I/51Hz7KZL2TL._AC_UL480_FMwebp_QL65_.jpg,9,"[{'spec_name': 'Color', 'spec_value': 'MediumOrchid'}, {'spec_name': 'Size', 'spec_value': 'XL'}]"
209,Camera,Target,"Choose real radio within rest game guy. Line likely total off. Decade choose scene drive account different production.
Off stock develop. Site responsibility economy art.",2.4,42.96,INR,https://m.media-amazon.com/images/I/61VwXeITFjL._AC_UY327_FMwebp_QL65_.jpg,5,"[{'spec_name': 'Color', 'spec_value': 'Cornsilk'}, {'spec_name': 'Size', 'spec_value': 'L'}]"
210,Eggs,Target,"Possible pretty these imagine help half. Easy help class tough. Stand him what. Serious house local still which collection pressure team.
Position away no forget.",1.7,250.38,INR,https://m.media-amazon.com/images/I/713F8edohML._AC_UL480_FMwebp_QL65_.jpg,5,"[{'spec_name': 'Color', 'spec_value': 'PeachPuff'}, {'spec_name': 'Size', 'spec_value': 'XL'}]"
213,Smartphone,Target,"Guy think improve our reveal. Fight music discuss audience treat.
Feel attack raise evidence step model.",3.0,138.42,INR,https://m.media-amazon.com/images/I/61VuVU94RnL._AC_UY327_FMwebp_QL65_.jpg,6,"[{'spec_name': 'Color', 'spec_value': 'Gainsboro'}, {'spec_name': 'Size', 'spec_value': 'L'}]"
214,Sweater,Target,"And it officer offer organization generation natural. Begin against energy agree plan wish.
Federal human radio parent. Admit safe face none character build. Near expert situation always level walk.",4.8,991.11,INR,https://m.media-amazon.com/images/I/31YtGQVKCsL._AC_UL480_FMwebp_QL65_.jpg,4,"[{'spec_name': 'Color', 'spec_value': 'NavajoWhite'}, {'spec_name': 'Size', 'spec_value': 'S'}]"
215,TV,Target,"Sign college he.
Official if age. Left work even wish professional popular offer. Decision evening yard trade wall artist.",1.5,793.93,INR,https://m.media-amazon.com/images/I/619--Jabh2L._AC_UY327_FMwebp_QL65_.jpg,6,"[{'spec_name': 'Color', 'spec_value': 'Tomato'}, {'spec_name': 'Size', 'spec_value': 'S'}]"
216,Canned Fruits,Target,"Gun station across according scientist street prevent tax. Travel single its commercial old enjoy experience. Suffer medical son.
Relationship part on wrong never sure. Between do general.",4.8,932.58,INR,https://m.media-amazon.com/images/I/41adxzhFYeL._AC_UL480_FMwebp_QL65_.jpg,4,"[{'spec_name': 'Color', 'spec_value': 'DarkOrchid'}, {'spec_name': 'Size', 'spec_value': 'XL'}]"
218,Dress Shirt,Target,"Member arm key.
Interesting rise movement world such outside help. Minute fine population feel trip garden security. Population must yet later institution floor quickly.",3.8,117.11,INR,https://m.media-amazon.com/images/I/51-EikstxnL._AC_UL480_FMwebp_QL65_.jpg,9,"[{'spec_name': 'Color', 'spec_value': 'Blue'}, {'spec_name': 'Size', 'spec_value': 'S'}]"
219,Tea,Target,"Suddenly court pick. Present threat listen father large.
Now energy budget son understand system property current. Trip thank mother. Matter even site difficult provide.",3.9,398.55,INR,https://m.media-amazon.com/images/I/51QF8woKr5S._AC_UL480_FMwebp_QL65_.jpg,5,"[{'spec_name': 'Color', 'spec_value': 'LightSteelBlue'}, {'spec_name': 'Size', 'spec_value': 'M'}]"
221,Fresh Vegetables,Target,"Size over enjoy safe before about room.
Personal wide gun team. Role four technology available too safe.
Environmental compare smile color hand. Direction off skill entire.",4.7,949.19,INR,https://m.media-amazon.com/images/I/619D1OTIYnL._AC_UL480_FMwebp_QL65_.jpg,6,"[{'spec_name': 'Color', 'spec_value': 'Gainsboro'}, {'spec_name': 'Size', 'spec_value': 'S'}]"
222,Cereal,Target,Half right church free. Experience position health method dark treatment clear. Series choice statement force second return. Trial deal arm choose that.,4.7,474.22,INR,https://m.media-amazon.com/images/I/71y2ybKOoxL._SX679_.jpg,5,"[{'spec_name': 'Color', 'spec_value': 'MediumSpringGreen'}, {'spec_name': 'Size', 'spec_value': 'L'}]"
225,Rice,Target,Yeah catch seven require media fine. Draw you everybody popular or.,1.9,887.93,INR,https://m.media-amazon.com/images/I/81OeQQruz1L._AC_UL480_FMwebp_QL65_.jpg,8,"[{'spec_name': 'Color', 'spec_value': 'MistyRose'}, {'spec_name': 'Size', 'spec_value': 'XL'}]"
227,Bread,Target,"Course sit and throughout cost. Know about investment fly account. He short ahead per.
Factor student cultural sing fine there. Radio real anything.",3.7,248.1,INR,https://m.media-amazon.com/images/I/815XdY--ZDL._AC_UL480_FMwebp_QL65_.jpg,8,"[{'spec_name': 'Color', 'spec_value': 'FloralWhite'}, {'spec_name': 'Size', 'spec_value': 'L'}]"
230,Socks,Target,Big world teacher cold some. Economic would about instead couple million. Center whole painting day.,1.4,661.15,INR,https://m.media-amazon.com/images/I/81dBZYxudhL._AC_UL480_FMwebp_QL65_.jpg,7,"[{'spec_name': 'Color', 'spec_value': 'Plum'}, {'spec_name': 'Size', 'spec_value': 'L'}]"
231,Canned Vegetables,Target,"Table wait worker education. Player game animal role Mrs.
Parent speak organization conference. Age enjoy throughout child. Civil job address pretty truth will.",2.9,921.67,INR,https://m.media-amazon.com/images/I/81LX0lM7DzL._AC_UL480_FMwebp_QL65_.jpg,5,"[{'spec_name': 'Color', 'spec_value': 'RosyBrown'}, {'spec_name': 'Size', 'spec_value': 'S'}]"
