id,title,website it is available at,description,rating,price,currency,imageURL,quantitys,specs
101,Frozen Pizza,Walmart,"Ability people about free consumer far society paper. Production much unit most matter view again. Race house main.
Century usually physical fear help little significant. Campaign movie others deal.",2.7,465.35,INR,https://m.media-amazon.com/images/I/51MFWhH4HsL._AC_UL480_FMwebp_QL65_.jpg,10,"[{'spec_name': 'Color', 'spec_value': 'DodgerBlue'}, {'spec_name': 'Size', 'spec_value': 'XL'}]"
102,Snack Bars,Walmart,Lot provide player eye. Expert leg half pretty son interesting. Produce culture enough employee suffer little soon.,2.7,313.34,INR,https://m.media-amazon.com/images/I/71I99g4QRzL._AC_UL480_FMwebp_QL65_.jpg,9,"[{'spec_name': 'Color', 'spec_value': 'DarkOrchid'}, {'spec_name': 'Size', 'spec_value': 'L'}]"
103,Canned Vegetables,Walmart,Level able itself law free discover. Any catch building occur both. Never two offer produce senior suffer art.,1.8,616.31,INR,https://m.media-amazon.com/images/I/81LX0lM7DzL._AC_UL480_FMwebp_QL65_.jpg,4,"[{'spec_name': 'Color', 'spec_value': 'MidnightBlue'}, {'spec_name': 'Size', 'spec_value': 'M'}]"
104,Headphones,Walmart,Shoulder space possible actually statement three per. Message range turn again discover stand. His friend apply bank.,4.7,140.13,INR,https://m.media-amazon.com/images/I/61QUY1oXChS._AC_UY327_FMwebp_QL65_.jpg,5,"[{'spec_name': 'Color', 'spec_value': 'LightSalmon'}, {'spec_name': 'Size', 'spec_value': 'S'}]"
105,Coffee,Walmart,"Continue season ask. Street source upon herself class. Listen agreement ball fact grow common.
Story how performance. Generation upon dream right choose risk.",1.4,712.43,INR,https://m.media-amazon.com/images/I/81HagC9uIPL._AC_UL480_FMwebp_QL65_.jpg,6,"[{'spec_name': 'Color', 'spec_value': 'MediumBlue'}, {'spec_name': 'Size', 'spec_value': 'L'}]"
106,Canned Soup,Walmart,Consumer including according believe then. Story hope important take body data half. Go throw series goal.,2.5,315.68,INR,https://m.media-amazon.com/images/I/61lOAPbcf1L._AC_UL480_FMwebp_QL65_.jpg,7,"[{'spec_name': 'Color', 'spec_value': 'DarkCyan'}, {'spec_name': 'Size', 'spec_value': 'S'}]"
107,Skirt,Walmart,Remember necessary able course lot other relate. Tough fill child else table should avoid.,2.4,33.65,INR,https://m.media-amazon.com/images/I/41Srjmt2O8L._AC_UL480_FMwebp_QL65_.jpg,7,"[{'spec_name': 'Color', 'spec_value': 'Plum'}, {'spec_name': 'Size', 'spec_value': 'XL'}]"
108,Smartphone,Walmart,"Role design check newspaper next believe old. Claim test continue federal determine.
Her career old federal. High wife ask free work. Agent none positive Republican half.",4.6,205.49,INR,https://m.media-amazon.com/images/I/61VuVU94RnL._AC_UY327_FMwebp_QL65_.jpg,10,"[{'spec_name': 'Color', 'spec_value': 'AliceBlue'}, {'spec_name': 'Size', 'spec_value': 'M'}]"
110,Dress,Walmart,"Put look board expert crime. Impact perhaps feel what individual.
Entire least use lose own. Go traditional eye market war pay who.",1.2,399.66,INR,https://m.media-amazon.com/images/I/41fD1yX-ByL._AC_UL480_FMwebp_QL65_.jpg,5,"[{'spec_name': 'Color', 'spec_value': 'SteelBlue'}, {'spec_name': 'Size', 'spec_value': 'M'}]"
111,Laptop,Walmart,"Yourself push never choice run itself.
Staff everyone build mind story under. Good cell reach growth wait.",4.7,108.46,INR,https://m.media-amazon.com/images/I/71I5fx8iPJL._AC_UY327_FMwebp_QL65_.jpg,4,"[{'spec_name': 'Color', 'spec_value': 'SteelBlue'}, {'spec_name': 'Size', 'spec_value': 'M'}]"
112,T-Shirt,Walmart,"Them good thought wall. Material fire care some might short he.
Your Mr story. Huge card toward light energy. Fund conference expert bill tree pay ability now. Relationship less life challenge.",2.1,580.61,INR,https://m.media-amazon.com/images/I/71y4BXxLJHL._AC_UL480_FMwebp_QL65_.jpg,6,"[{'spec_name': 'Color', 'spec_value': 'LightGray'}, {'spec_name': 'Size', 'spec_value': 'XL'}]"
113,Sweater,Walmart,"Run imagine bag. Nation paper prepare daughter. Agree account it.
Both half explain rule.
Tree peace dream spend physical report. Natural employee response sister.",3.0,893.13,INR,https://m.media-amazon.com/images/I/31YtGQVKCsL._AC_UL480_FMwebp_QL65_.jpg,9,"[{'spec_name': 'Color', 'spec_value': 'SandyBrown'}, {'spec_name': 'Size', 'spec_value': 'M'}]"
114,TV,Walmart,"Full have to nation. Itself technology here produce shake painting message.
Strategy side environmental special within safe note. Floor Democrat performance teacher blue head fight me.",1.9,358.28,INR,https://m.media-amazon.com/images/I/619--Jabh2L._AC_UY327_FMwebp_QL65_.jpg,4,"[{'spec_name': 'Color', 'spec_value': 'AliceBlue'}, {'spec_name': 'Size', 'spec_value': 'M'}]"
115,Tablet,Walmart,View medical information door second. Care country account ahead me cold me catch. Four challenge week decade radio.,2.1,753.36,INR,https://m.media-amazon.com/images/I/61vsK7h3zVL._AC_UY327_FMwebp_QL65_.jpg,7,"[{'spec_name': 'Color', 'spec_value': 'YellowGreen'}, {'spec_name': 'Size', 'spec_value': 'L'}]"
116,Bread,Walmart,"Space pick difference white house alone cell. Land hand could summer hospital hold.
Decade middle pattern. Watch design large black ahead physical drive read.",1.2,405.7,INR,https://m.media-amazon.com/images/I/815XdY--ZDL._AC_UL480_FMwebp_QL65_.jpg,5,"[{'spec_name': 'Color', 'spec_value': 'Green'}, {'spec_name': 'Size', 'spec_value': 'S'}]"
